#CME
# -18.81           BStrength
# T           UseCme
# 0.60           aStretch
# GL           TypeCme
# 0.95           ApexHeight
# 87.50           LongitudeCme
# 0.75           Radius
# 14.50           LatitudeCme
# T           DoAddFluxRope
# 251.57           OrientationCme

 # selected backgrounds = 
selected run IDs = 1-220

#START
ID   params
1 map=ADAPT_CR2154.fits    model=AWSoM    LperpTimesSqrtBSi=1.238356e+05    BrFactor=0.7151    PoyntingFluxPerBSi=5.076149e+05    
2 map=ADAPT_CR2154.fits    model=AWSoM    LperpTimesSqrtBSi=2.165413e+05    BrFactor=0.7271    PoyntingFluxPerBSi=3.051967e+05    
3 map=ADAPT_CR2154.fits    model=AWSoM    LperpTimesSqrtBSi=1.656657e+05    BrFactor=0.7459    PoyntingFluxPerBSi=3.676977e+05    
4 map=ADAPT_CR2154.fits    model=AWSoM    LperpTimesSqrtBSi=1.081121e+05    BrFactor=0.7835    PoyntingFluxPerBSi=4.604455e+05    
5 map=ADAPT_CR2154.fits    model=AWSoM    LperpTimesSqrtBSi=2.071052e+05    BrFactor=0.8041    PoyntingFluxPerBSi=4.046034e+05    
6 map=ADAPT_CR2154.fits    model=AWSoM    LperpTimesSqrtBSi=1.400950e+05    BrFactor=0.8212    PoyntingFluxPerBSi=3.144461e+05    
7 map=ADAPT_CR2154.fits    model=AWSoM    LperpTimesSqrtBSi=2.344140e+05    BrFactor=0.8613    PoyntingFluxPerBSi=3.455279e+05    
8 map=ADAPT_CR2154.fits    model=AWSoM    LperpTimesSqrtBSi=1.281239e+05    BrFactor=0.8872    PoyntingFluxPerBSi=3.904135e+05    
9 map=ADAPT_CR2154.fits    model=AWSoM    LperpTimesSqrtBSi=2.214418e+05    BrFactor=0.9055    PoyntingFluxPerBSi=5.230521e+05    
10 map=ADAPT_CR2154.fits    model=AWSoM    LperpTimesSqrtBSi=1.590971e+05    BrFactor=0.9266    PoyntingFluxPerBSi=4.482435e+05    
11 map=ADAPT_CR2154.fits    model=AWSoM    LperpTimesSqrtBSi=1.995985e+05    BrFactor=0.9524    PoyntingFluxPerBSi=3.254929e+05    
12 map=ADAPT_CR2154.fits    model=AWSoM    LperpTimesSqrtBSi=1.465736e+05    BrFactor=0.9719    PoyntingFluxPerBSi=5.469280e+05    
13 map=ADAPT_CR2154.fits    model=AWSoM    LperpTimesSqrtBSi=1.119791e+05    BrFactor=0.9930    PoyntingFluxPerBSi=3.543068e+05    
14 map=ADAPT_CR2154.fits    model=AWSoM    LperpTimesSqrtBSi=1.880645e+05    BrFactor=1.0151    PoyntingFluxPerBSi=4.244360e+05    
15 map=ADAPT_CR2154.fits    model=AWSoM    LperpTimesSqrtBSi=1.348781e+05    BrFactor=1.0443    PoyntingFluxPerBSi=4.792771e+05    
16 map=ADAPT_CR2154.fits    model=AWSoM    LperpTimesSqrtBSi=2.258780e+05    BrFactor=1.0597    PoyntingFluxPerBSi=3.794785e+05    
17 map=ADAPT_CR2154.fits    model=AWSoM    LperpTimesSqrtBSi=1.759945e+05    BrFactor=1.0809    PoyntingFluxPerBSi=3.004750e+05    
18 map=ADAPT_CR2154.fits    model=AWSoM    LperpTimesSqrtBSi=2.125353e+05    BrFactor=1.1179    PoyntingFluxPerBSi=4.654620e+05    
19 map=ADAPT_CR2154.fits    model=AWSoM    LperpTimesSqrtBSi=1.510818e+05    BrFactor=1.1309    PoyntingFluxPerBSi=3.386795e+05    
20 map=ADAPT_CR2154.fits    model=AWSoM    LperpTimesSqrtBSi=1.691273e+05    BrFactor=1.1585    PoyntingFluxPerBSi=5.141890e+05    
160 restartdir=run008_AWSoM       param=PARAM.in.awsom.cme      BStrength=47.1544    ApexHeight=0.4377    Radius=0.4088    Orientation=287.3450    
161 restartdir=run004_AWSoM       param=PARAM.in.awsom.cme      BStrength=-36.8314    ApexHeight=0.6771    Radius=0.6038    Orientation=281.9450    
162 restartdir=run016_AWSoM       param=PARAM.in.awsom.cme      BStrength=-34.6326    ApexHeight=0.6060    Radius=0.6238    Orientation=251.7950    
163 restartdir=run017_AWSoM       param=PARAM.in.awsom.cme      BStrength=-70.7488    ApexHeight=0.3142    Radius=0.3337    Orientation=288.6950    
164 restartdir=run016_AWSoM       param=PARAM.in.awsom.cme      BStrength=33.3701    ApexHeight=0.7286    Radius=0.7013    Orientation=293.1950    
165 restartdir=run006_AWSoM       param=PARAM.in.awsom.cme      BStrength=-42.8638    ApexHeight=0.5054    Radius=0.5212    Orientation=231.9950    
166 restartdir=run019_AWSoM       param=PARAM.in.awsom.cme      BStrength=24.7930    ApexHeight=0.7895    Radius=0.7987    Orientation=214.4450    
167 restartdir=run017_AWSoM       param=PARAM.in.awsom.cme      BStrength=37.1292    ApexHeight=0.7228    Radius=0.6587    Orientation=279.6950    
168 restartdir=run010_AWSoM       param=PARAM.in.awsom.cme      BStrength=-31.8205    ApexHeight=0.7845    Radius=0.7288    Orientation=256.2950    
169 restartdir=run001_AWSoM       param=PARAM.in.awsom.cme      BStrength=55.1007    ApexHeight=0.3972    Radius=0.4113    Orientation=295.4450    
170 restartdir=run006_AWSoM       param=PARAM.in.awsom.cme      BStrength=32.7713    ApexHeight=0.8226    Radius=0.7238    Orientation=226.5950    
171 restartdir=run014_AWSoM       param=PARAM.in.awsom.cme      BStrength=-35.6933    ApexHeight=0.5639    Radius=0.6438    Orientation=255.8450    
172 restartdir=run006_AWSoM       param=PARAM.in.awsom.cme      BStrength=-13.5658    ApexHeight=0.8293    Radius=0.7813    Orientation=221.1950    
173 restartdir=run019_AWSoM       param=PARAM.in.awsom.cme      BStrength=47.8903    ApexHeight=0.5837    Radius=0.4688    Orientation=235.1450    
174 restartdir=run014_AWSoM       param=PARAM.in.awsom.cme      BStrength=64.4845    ApexHeight=0.3584    Radius=0.3613    Orientation=209.4950    
175 restartdir=run016_AWSoM       param=PARAM.in.awsom.cme      BStrength=-57.8894    ApexHeight=0.4577    Radius=0.3987    Orientation=218.4950    
176 restartdir=run019_AWSoM       param=PARAM.in.awsom.cme      BStrength=-45.7349    ApexHeight=0.4769    Radius=0.4238    Orientation=253.1450    
177 restartdir=run019_AWSoM       param=PARAM.in.awsom.cme      BStrength=15.6778    ApexHeight=0.7652    Radius=0.6963    Orientation=232.8950    
178 restartdir=run004_AWSoM       param=PARAM.in.awsom.cme      BStrength=-35.9566    ApexHeight=0.6388    Radius=0.6538    Orientation=238.7450    
179 restartdir=run001_AWSoM       param=PARAM.in.awsom.cme      BStrength=-43.6138    ApexHeight=0.6116    Radius=0.5463    Orientation=258.5450    
180 restartdir=run010_AWSoM       param=PARAM.in.awsom.cme      BStrength=-53.3766    ApexHeight=0.5091    Radius=0.4562    Orientation=223.4450    
181 restartdir=run017_AWSoM       param=PARAM.in.awsom.cme      BStrength=-49.0548    ApexHeight=0.5684    Radius=0.4662    Orientation=271.1450    
182 restartdir=run006_AWSoM       param=PARAM.in.awsom.cme      BStrength=23.4091    ApexHeight=0.9393    Radius=0.7963    Orientation=265.7450    
183 restartdir=run016_AWSoM       param=PARAM.in.awsom.cme      BStrength=-32.3563    ApexHeight=0.6404    Radius=0.5238    Orientation=229.7450    
184 restartdir=run017_AWSoM       param=PARAM.in.awsom.cme      BStrength=-29.6281    ApexHeight=0.7610    Radius=0.7612    Orientation=220.2950    
185 restartdir=run017_AWSoM       param=PARAM.in.awsom.cme      BStrength=-18.3527    ApexHeight=0.6197    Radius=0.6813    Orientation=292.7450    
186 restartdir=run004_AWSoM       param=PARAM.in.awsom.cme      BStrength=40.5227    ApexHeight=0.7847    Radius=0.6663    Orientation=267.5450    
187 restartdir=run016_AWSoM       param=PARAM.in.awsom.cme      BStrength=23.6960    ApexHeight=0.7570    Radius=0.7688    Orientation=223.8950    
188 restartdir=run014_AWSoM       param=PARAM.in.awsom.cme      BStrength=-32.1249    ApexHeight=0.8708    Radius=0.7712    Orientation=283.7450    
189 restartdir=run006_AWSoM       param=PARAM.in.awsom.cme      BStrength=39.8715    ApexHeight=0.6278    Radius=0.6188    Orientation=284.1950    
190 restartdir=run013_AWSoM       param=PARAM.in.awsom.cme      BStrength=-38.2176    ApexHeight=0.6378    Radius=0.6787    Orientation=237.3950    
191 restartdir=run013_AWSoM       param=PARAM.in.awsom.cme      BStrength=-40.6593    ApexHeight=0.6425    Radius=0.5938    Orientation=273.8450    
192 restartdir=run017_AWSoM       param=PARAM.in.awsom.cme      BStrength=45.7799    ApexHeight=0.5068    Radius=0.5713    Orientation=253.5950    
193 restartdir=run006_AWSoM       param=PARAM.in.awsom.cme      BStrength=-62.9378    ApexHeight=0.4983    Radius=0.4037    Orientation=248.6450    
194 restartdir=run001_AWSoM       param=PARAM.in.awsom.cme      BStrength=19.0718    ApexHeight=0.6632    Radius=0.5613    Orientation=281.4950    
195 restartdir=run019_AWSoM       param=PARAM.in.awsom.cme      BStrength=-62.2083    ApexHeight=0.3456    Radius=0.3387    Orientation=227.9450    
196 restartdir=run019_AWSoM       param=PARAM.in.awsom.cme      BStrength=42.6326    ApexHeight=0.5899    Radius=0.5687    Orientation=247.2950    
197 restartdir=run008_AWSoM       param=PARAM.in.awsom.cme      BStrength=-34.4725    ApexHeight=0.7550    Radius=0.7863    Orientation=288.2450    
198 restartdir=run001_AWSoM       param=PARAM.in.awsom.cme      BStrength=51.1714    ApexHeight=0.6037    Radius=0.4863    Orientation=225.2450    
199 restartdir=run010_AWSoM       param=PARAM.in.awsom.cme      BStrength=46.1670    ApexHeight=0.5421    Radius=0.5413    Orientation=272.0450    
200 restartdir=run001_AWSoM       param=PARAM.in.awsom.cme      BStrength=35.9800    ApexHeight=0.8553    Radius=0.7562    Orientation=238.2950    
201 restartdir=run016_AWSoM       param=PARAM.in.awsom.cme      BStrength=35.9072    ApexHeight=0.6170    Radius=0.5663    Orientation=209.0450    
202 restartdir=run006_AWSoM       param=PARAM.in.awsom.cme      BStrength=42.6889    ApexHeight=0.5849    Radius=0.4813    Orientation=218.9450    
203 restartdir=run008_AWSoM       param=PARAM.in.awsom.cme      BStrength=-70.8206    ApexHeight=0.4234    Radius=0.3738    Orientation=254.4950    
204 restartdir=run019_AWSoM       param=PARAM.in.awsom.cme      BStrength=62.0296    ApexHeight=0.3627    Radius=0.4063    Orientation=290.9450    
205 restartdir=run019_AWSoM       param=PARAM.in.awsom.cme      BStrength=-58.8920    ApexHeight=0.4283    Radius=0.4512    Orientation=206.7950    
206 restartdir=run014_AWSoM       param=PARAM.in.awsom.cme      BStrength=63.3372    ApexHeight=0.4409    Radius=0.4213    Orientation=276.9950    
207 restartdir=run010_AWSoM       param=PARAM.in.awsom.cme      BStrength=19.2050    ApexHeight=0.8891    Radius=0.7887    Orientation=248.1950    
208 restartdir=run016_AWSoM       param=PARAM.in.awsom.cme      BStrength=74.9615    ApexHeight=0.3829    Radius=0.3588    Orientation=241.8950    
209 restartdir=run016_AWSoM       param=PARAM.in.awsom.cme      BStrength=-48.2898    ApexHeight=0.6048    Radius=0.5437    Orientation=285.9950    
210 restartdir=run001_AWSoM       param=PARAM.in.awsom.cme      BStrength=-72.4802    ApexHeight=0.4440    Radius=0.3812    Orientation=277.4450    
211 restartdir=run013_AWSoM       param=PARAM.in.awsom.cme      BStrength=28.6460    ApexHeight=0.6078    Radius=0.6138    Orientation=245.0450    
212 restartdir=run004_AWSoM       param=PARAM.in.awsom.cme      BStrength=-15.0686    ApexHeight=0.5907    Radius=0.5138    Orientation=257.1950    
213 restartdir=run004_AWSoM       param=PARAM.in.awsom.cme      BStrength=65.9422    ApexHeight=0.4124    Radius=0.3837    Orientation=224.3450    
214 restartdir=run014_AWSoM       param=PARAM.in.awsom.cme      BStrength=59.5359    ApexHeight=0.5648    Radius=0.4713    Orientation=216.6950    
215 restartdir=run006_AWSoM       param=PARAM.in.awsom.cme      BStrength=-34.4057    ApexHeight=0.6913    Radius=0.7662    Orientation=239.1950    
216 restartdir=run004_AWSoM       param=PARAM.in.awsom.cme      BStrength=27.0110    ApexHeight=0.7833    Radius=0.7762    Orientation=291.3950    
217 restartdir=run013_AWSoM       param=PARAM.in.awsom.cme      BStrength=74.0058    ApexHeight=0.3973    Radius=0.3762    Orientation=249.9950    
218 restartdir=run008_AWSoM       param=PARAM.in.awsom.cme      BStrength=45.2629    ApexHeight=0.4959    Radius=0.5637    Orientation=280.1450    
219 restartdir=run017_AWSoM       param=PARAM.in.awsom.cme      BStrength=53.3216    ApexHeight=0.6139    Radius=0.5162    Orientation=236.0450    
220 restartdir=run010_AWSoM       param=PARAM.in.awsom.cme      BStrength=46.8771    ApexHeight=0.6967    Radius=0.5962    Orientation=241.4450    
